ID,NAME,LAT,LONG,ELEVATION
2864,pcp-80.247_46.875,46.875,-80.247,370
2865,pcp-80.164_46.875,46.875,-80.164,305
2866,pcp-80.08_46.875,46.875,-80.08,293
2867,pcp-79.997_46.875,46.875,-79.997,312
2947,pcp-83.414_46.792,46.792,-83.414,492
2948,pcp-83.33_46.792,46.792,-83.33,360
2949,pcp-83.247_46.792,46.792,-83.247,448
2950,pcp-83.164_46.792,46.792,-83.164,443
2951,pcp-83.08_46.792,46.792,-83.08,432
2952,pcp-82.997_46.792,46.792,-82.997,450
2953,pcp-82.914_46.792,46.792,-82.914,492
2954,pcp-82.83_46.792,46.792,-82.83,441
2955,pcp-82.747_46.792,46.792,-82.747,447
2956,pcp-82.664_46.792,46.792,-82.664,487
2957,pcp-82.58_46.792,46.792,-82.58,461
2958,pcp-82.497_46.792,46.792,-82.497,470
2959,pcp-82.414_46.792,46.792,-82.414,453
2960,pcp-82.33_46.792,46.792,-82.33,441
2961,pcp-82.247_46.792,46.792,-82.247,467
2962,pcp-82.164_46.792,46.792,-82.164,443
2963,pcp-82.08_46.792,46.792,-82.08,444
2964,pcp-81.997_46.792,46.792,-81.997,490
2965,pcp-81.914_46.792,46.792,-81.914,408
2966,pcp-81.83_46.792,46.792,-81.83,458
2967,pcp-81.747_46.792,46.792,-81.747,456
2968,pcp-81.664_46.792,46.792,-81.664,447
2969,pcp-81.58_46.792,46.792,-81.58,404
2970,pcp-81.497_46.792,46.792,-81.497,432
2971,pcp-81.414_46.792,46.792,-81.414,378
2972,pcp-81.33_46.792,46.792,-81.33,426
2973,pcp-81.247_46.792,46.792,-81.247,424
2974,pcp-81.164_46.792,46.792,-81.164,410
2975,pcp-81.08_46.792,46.792,-81.08,381
2976,pcp-80.997_46.792,46.792,-80.997,405
2977,pcp-80.914_46.792,46.792,-80.914,341
2978,pcp-80.83_46.792,46.792,-80.83,335
2979,pcp-80.747_46.792,46.792,-80.747,276
2980,pcp-80.664_46.792,46.792,-80.664,291
2981,pcp-80.58_46.792,46.792,-80.58,289
2982,pcp-80.497_46.792,46.792,-80.497,276
2983,pcp-80.414_46.792,46.792,-80.414,295
2984,pcp-80.33_46.792,46.792,-80.33,276
2985,pcp-80.247_46.792,46.792,-80.247,282
2986,pcp-80.164_46.792,46.792,-80.164,302
2987,pcp-80.08_46.792,46.792,-80.08,334
2988,pcp-79.997_46.792,46.792,-79.997,315
3067,pcp-83.414_46.708,46.708,-83.414,310
3068,pcp-83.33_46.708,46.708,-83.33,448
3069,pcp-83.247_46.708,46.708,-83.247,449
3070,pcp-83.164_46.708,46.708,-83.164,414
3071,pcp-83.08_46.708,46.708,-83.08,404
3072,pcp-82.997_46.708,46.708,-82.997,399
3073,pcp-82.914_46.708,46.708,-82.914,499
3074,pcp-82.83_46.708,46.708,-82.83,335
3075,pcp-82.747_46.708,46.708,-82.747,406
3076,pcp-82.664_46.708,46.708,-82.664,473
3077,pcp-82.58_46.708,46.708,-82.58,482
3078,pcp-82.497_46.708,46.708,-82.497,458
3079,pcp-82.414_46.708,46.708,-82.414,429
3080,pcp-82.33_46.708,46.708,-82.33,438
3081,pcp-82.247_46.708,46.708,-82.247,492
3082,pcp-82.164_46.708,46.708,-82.164,488
3083,pcp-82.08_46.708,46.708,-82.08,468
3084,pcp-81.997_46.708,46.708,-81.997,439
3085,pcp-81.914_46.708,46.708,-81.914,440
3086,pcp-81.83_46.708,46.708,-81.83,439
3087,pcp-81.747_46.708,46.708,-81.747,424
3088,pcp-81.664_46.708,46.708,-81.664,405
3089,pcp-81.58_46.708,46.708,-81.58,431
3090,pcp-81.497_46.708,46.708,-81.497,449
3091,pcp-81.414_46.708,46.708,-81.414,381
3092,pcp-81.33_46.708,46.708,-81.33,400
3093,pcp-81.247_46.708,46.708,-81.247,385
3094,pcp-81.164_46.708,46.708,-81.164,353
3095,pcp-81.08_46.708,46.708,-81.08,379
3096,pcp-80.997_46.708,46.708,-80.997,338
3097,pcp-80.914_46.708,46.708,-80.914,306
3098,pcp-80.83_46.708,46.708,-80.83,326
3099,pcp-80.747_46.708,46.708,-80.747,267
3100,pcp-80.664_46.708,46.708,-80.664,267
3101,pcp-80.58_46.708,46.708,-80.58,303
3102,pcp-80.497_46.708,46.708,-80.497,270
3103,pcp-80.414_46.708,46.708,-80.414,278
3104,pcp-80.33_46.708,46.708,-80.33,252
3105,pcp-80.247_46.708,46.708,-80.247,306
3106,pcp-80.164_46.708,46.708,-80.164,332
3107,pcp-80.08_46.708,46.708,-80.08,288
3108,pcp-79.997_46.708,46.708,-79.997,297
3188,pcp-83.414_46.625,46.625,-83.414,433
3189,pcp-83.33_46.625,46.625,-83.33,413
3190,pcp-83.247_46.625,46.625,-83.247,473
3191,pcp-83.164_46.625,46.625,-83.164,464
3192,pcp-83.08_46.625,46.625,-83.08,469
3193,pcp-82.997_46.625,46.625,-82.997,385
3194,pcp-82.914_46.625,46.625,-82.914,438
3195,pcp-82.83_46.625,46.625,-82.83,404
3196,pcp-82.747_46.625,46.625,-82.747,339
3197,pcp-82.664_46.625,46.625,-82.664,427
3198,pcp-82.58_46.625,46.625,-82.58,397
3199,pcp-82.497_46.625,46.625,-82.497,400
3200,pcp-82.414_46.625,46.625,-82.414,454
3201,pcp-82.33_46.625,46.625,-82.33,420
3202,pcp-82.247_46.625,46.625,-82.247,464
3203,pcp-82.164_46.625,46.625,-82.164,375
3204,pcp-82.08_46.625,46.625,-82.08,454
3205,pcp-81.997_46.625,46.625,-81.997,390
3206,pcp-81.914_46.625,46.625,-81.914,425
3207,pcp-81.83_46.625,46.625,-81.83,320
3208,pcp-81.747_46.625,46.625,-81.747,412
3209,pcp-81.664_46.625,46.625,-81.664,367
3210,pcp-81.58_46.625,46.625,-81.58,410
3211,pcp-81.497_46.625,46.625,-81.497,400
3212,pcp-81.414_46.625,46.625,-81.414,365
3213,pcp-81.33_46.625,46.625,-81.33,385
3214,pcp-81.247_46.625,46.625,-81.247,269
3215,pcp-81.164_46.625,46.625,-81.164,285
3216,pcp-81.08_46.625,46.625,-81.08,283
3217,pcp-80.997_46.625,46.625,-80.997,287
3218,pcp-80.914_46.625,46.625,-80.914,288
3219,pcp-80.83_46.625,46.625,-80.83,333
3220,pcp-80.747_46.625,46.625,-80.747,320
3221,pcp-80.664_46.625,46.625,-80.664,270
3222,pcp-80.58_46.625,46.625,-80.58,266
3223,pcp-80.497_46.625,46.625,-80.497,272
3224,pcp-80.414_46.625,46.625,-80.414,277
3225,pcp-80.33_46.625,46.625,-80.33,275
3226,pcp-80.247_46.625,46.625,-80.247,239
3227,pcp-80.164_46.625,46.625,-80.164,276
3228,pcp-80.08_46.625,46.625,-80.08,257
3229,pcp-79.997_46.625,46.625,-79.997,293
3310,pcp-83.414_46.542,46.542,-83.414,386
3311,pcp-83.33_46.542,46.542,-83.33,400
3312,pcp-83.247_46.542,46.542,-83.247,406
3313,pcp-83.164_46.542,46.542,-83.164,407
3314,pcp-83.08_46.542,46.542,-83.08,295
3315,pcp-82.997_46.542,46.542,-82.997,373
3316,pcp-82.914_46.542,46.542,-82.914,419
3317,pcp-82.83_46.542,46.542,-82.83,443
3318,pcp-82.747_46.542,46.542,-82.747,448
3319,pcp-82.664_46.542,46.542,-82.664,430
3320,pcp-82.58_46.542,46.542,-82.58,391
3321,pcp-82.497_46.542,46.542,-82.497,375
3322,pcp-82.414_46.542,46.542,-82.414,428
3323,pcp-82.33_46.542,46.542,-82.33,390
3324,pcp-82.247_46.542,46.542,-82.247,419
3325,pcp-82.164_46.542,46.542,-82.164,361
3326,pcp-82.08_46.542,46.542,-82.08,370
3327,pcp-81.997_46.542,46.542,-81.997,358
3328,pcp-81.914_46.542,46.542,-81.914,412
3329,pcp-81.83_46.542,46.542,-81.83,356
3330,pcp-81.747_46.542,46.542,-81.747,377
3331,pcp-81.664_46.542,46.542,-81.664,340
3332,pcp-81.58_46.542,46.542,-81.58,371
3333,pcp-81.497_46.542,46.542,-81.497,362
3334,pcp-81.414_46.542,46.542,-81.414,258
3335,pcp-81.33_46.542,46.542,-81.33,276
3336,pcp-81.247_46.542,46.542,-81.247,299
3337,pcp-81.164_46.542,46.542,-81.164,291
3338,pcp-81.08_46.542,46.542,-81.08,273
3339,pcp-80.997_46.542,46.542,-80.997,300
3340,pcp-80.914_46.542,46.542,-80.914,280
3341,pcp-80.83_46.542,46.542,-80.83,270
3342,pcp-80.747_46.542,46.542,-80.747,296
3343,pcp-80.664_46.542,46.542,-80.664,256
3344,pcp-80.58_46.542,46.542,-80.58,276
3345,pcp-80.497_46.542,46.542,-80.497,230
3346,pcp-80.414_46.542,46.542,-80.414,246
3347,pcp-80.33_46.542,46.542,-80.33,243
3348,pcp-80.247_46.542,46.542,-80.247,261
3349,pcp-80.164_46.542,46.542,-80.164,259
3350,pcp-80.08_46.542,46.542,-80.08,238
3351,pcp-79.997_46.542,46.542,-79.997,236
3431,pcp-83.414_46.458,46.458,-83.414,359
3432,pcp-83.33_46.458,46.458,-83.33,371
3433,pcp-83.247_46.458,46.458,-83.247,322
3434,pcp-83.164_46.458,46.458,-83.164,305
3435,pcp-83.08_46.458,46.458,-83.08,363
3436,pcp-82.997_46.458,46.458,-82.997,378
3437,pcp-82.914_46.458,46.458,-82.914,380
3438,pcp-82.83_46.458,46.458,-82.83,444
3439,pcp-82.747_46.458,46.458,-82.747,385
3440,pcp-82.664_46.458,46.458,-82.664,401
3441,pcp-82.58_46.458,46.458,-82.58,382
3442,pcp-82.497_46.458,46.458,-82.497,365
3443,pcp-82.414_46.458,46.458,-82.414,319
3444,pcp-82.33_46.458,46.458,-82.33,381
3445,pcp-82.247_46.458,46.458,-82.247,397
3446,pcp-82.164_46.458,46.458,-82.164,337
3447,pcp-82.08_46.458,46.458,-82.08,384
3448,pcp-81.997_46.458,46.458,-81.997,364
3449,pcp-81.914_46.458,46.458,-81.914,339
3450,pcp-81.83_46.458,46.458,-81.83,308
3451,pcp-81.747_46.458,46.458,-81.747,361
3452,pcp-81.664_46.458,46.458,-81.664,283
3453,pcp-81.58_46.458,46.458,-81.58,349
3454,pcp-81.497_46.458,46.458,-81.497,316
3455,pcp-81.414_46.458,46.458,-81.414,299
3456,pcp-81.33_46.458,46.458,-81.33,318
3457,pcp-81.247_46.458,46.458,-81.247,292
3458,pcp-81.164_46.458,46.458,-81.164,302
3459,pcp-81.08_46.458,46.458,-81.08,270
3460,pcp-80.997_46.458,46.458,-80.997,263
3461,pcp-80.914_46.458,46.458,-80.914,270
3462,pcp-80.83_46.458,46.458,-80.83,273
3463,pcp-80.747_46.458,46.458,-80.747,257
3464,pcp-80.664_46.458,46.458,-80.664,223
3465,pcp-80.58_46.458,46.458,-80.58,252
3466,pcp-80.497_46.458,46.458,-80.497,250
3467,pcp-80.414_46.458,46.458,-80.414,215
3468,pcp-80.33_46.458,46.458,-80.33,233
3469,pcp-80.247_46.458,46.458,-80.247,251
3470,pcp-80.164_46.458,46.458,-80.164,263
3471,pcp-80.08_46.458,46.458,-80.08,245
3472,pcp-79.997_46.458,46.458,-79.997,267
3549,pcp-83.414_46.375,46.375,-83.414,326
3550,pcp-83.33_46.375,46.375,-83.33,212
3551,pcp-83.247_46.375,46.375,-83.247,242
3552,pcp-83.164_46.375,46.375,-83.164,313
3553,pcp-83.08_46.375,46.375,-83.08,235
3554,pcp-82.997_46.375,46.375,-82.997,320
3555,pcp-82.914_46.375,46.375,-82.914,280
3556,pcp-82.83_46.375,46.375,-82.83,322
3557,pcp-82.747_46.375,46.375,-82.747,310
3558,pcp-82.664_46.375,46.375,-82.664,326
3559,pcp-82.58_46.375,46.375,-82.58,346
3560,pcp-82.497_46.375,46.375,-82.497,343
3561,pcp-82.414_46.375,46.375,-82.414,318
3562,pcp-82.33_46.375,46.375,-82.33,336
3563,pcp-82.247_46.375,46.375,-82.247,338
3564,pcp-82.164_46.375,46.375,-82.164,340
3565,pcp-82.08_46.375,46.375,-82.08,353
3566,pcp-81.997_46.375,46.375,-81.997,346
3567,pcp-81.914_46.375,46.375,-81.914,329
3568,pcp-81.83_46.375,46.375,-81.83,276
3569,pcp-81.747_46.375,46.375,-81.747,274
3570,pcp-81.664_46.375,46.375,-81.664,262
3571,pcp-81.58_46.375,46.375,-81.58,238
3572,pcp-81.497_46.375,46.375,-81.497,212
3573,pcp-81.414_46.375,46.375,-81.414,279
3574,pcp-81.33_46.375,46.375,-81.33,247
3575,pcp-81.247_46.375,46.375,-81.247,270
3576,pcp-81.164_46.375,46.375,-81.164,240
3577,pcp-81.08_46.375,46.375,-81.08,225
3578,pcp-80.997_46.375,46.375,-80.997,290
3579,pcp-80.914_46.375,46.375,-80.914,263
3580,pcp-80.83_46.375,46.375,-80.83,225
3581,pcp-80.747_46.375,46.375,-80.747,260
3582,pcp-80.664_46.375,46.375,-80.664,240
3583,pcp-80.58_46.375,46.375,-80.58,250
3584,pcp-80.497_46.375,46.375,-80.497,227
3585,pcp-80.414_46.375,46.375,-80.414,231
3586,pcp-80.33_46.375,46.375,-80.33,225
3587,pcp-80.247_46.375,46.375,-80.247,216
3588,pcp-80.164_46.375,46.375,-80.164,218
3589,pcp-80.08_46.375,46.375,-80.08,207
3590,pcp-79.997_46.375,46.375,-79.997,204
3665,pcp-83.414_46.292,46.292,-83.414,200
3666,pcp-83.33_46.292,46.292,-83.33,218
3667,pcp-83.247_46.292,46.292,-83.247,189
3668,pcp-83.164_46.292,46.292,-83.164,198
3669,pcp-83.08_46.292,46.292,-83.08,230
3670,pcp-82.997_46.292,46.292,-82.997,239
3671,pcp-82.914_46.292,46.292,-82.914,300
3672,pcp-82.83_46.292,46.292,-82.83,191
3673,pcp-82.747_46.292,46.292,-82.747,240
3674,pcp-82.664_46.292,46.292,-82.664,279
3675,pcp-82.58_46.292,46.292,-82.58,283
3676,pcp-82.497_46.292,46.292,-82.497,303
3677,pcp-82.414_46.292,46.292,-82.414,268
3678,pcp-82.33_46.292,46.292,-82.33,271
3679,pcp-82.247_46.292,46.292,-82.247,293
3680,pcp-82.164_46.292,46.292,-82.164,298
3681,pcp-82.08_46.292,46.292,-82.08,258
3682,pcp-81.997_46.292,46.292,-81.997,254
3683,pcp-81.914_46.292,46.292,-81.914,258
3684,pcp-81.83_46.292,46.292,-81.83,264
3685,pcp-81.747_46.292,46.292,-81.747,215
3686,pcp-81.664_46.292,46.292,-81.664,212
3687,pcp-81.58_46.292,46.292,-81.58,209
3688,pcp-81.497_46.292,46.292,-81.497,286
3689,pcp-81.414_46.292,46.292,-81.414,271
3690,pcp-81.33_46.292,46.292,-81.33,280
3691,pcp-81.247_46.292,46.292,-81.247,224
3692,pcp-81.164_46.292,46.292,-81.164,272
3693,pcp-81.08_46.292,46.292,-81.08,270
3694,pcp-80.997_46.292,46.292,-80.997,246
3695,pcp-80.914_46.292,46.292,-80.914,220
3696,pcp-80.83_46.292,46.292,-80.83,244
3697,pcp-80.747_46.292,46.292,-80.747,240
3698,pcp-80.664_46.292,46.292,-80.664,226
3699,pcp-80.58_46.292,46.292,-80.58,219
3700,pcp-80.497_46.292,46.292,-80.497,214
3701,pcp-80.414_46.292,46.292,-80.414,205
3702,pcp-80.33_46.292,46.292,-80.33,195
3703,pcp-80.247_46.292,46.292,-80.247,210
3704,pcp-80.164_46.292,46.292,-80.164,205
3705,pcp-80.08_46.292,46.292,-80.08,196
3706,pcp-79.997_46.292,46.292,-79.997,196
